Customer Reference ID,Deposits,Other First Deposits,Total First Deposits,Total First Deposit Count
132514,44.00,0,26.00,1
132901,180.00,0,180.00,1
137545,37.00,0,15.00,1
140316,831.00,0,89.00,1
144166,14.00,0,14.00,1
144169,2.00,0,2.00,1
145030,11.00,0,11.00,1
146225,59.00,0,14.00,1
146330,176.00,0,14.00,1
146868,44.00,0,44.00,1
327133,4266.00,0,291.00,1
327912,14.00,0,14.00,1
328730,30.00,0,30.00,1
328823,2022.00,0,119.00,1
328851,0.00,0,0.00,N/A
328887,89.00,0,89.00,1
328949,0.00,0,0.00,N/A
329003,0.00,0,0.00,N/A
329065,0.00,0,0.00,N/A
329184,0.00,0,0.00,N/A
329465,29.00,0,29.00,1
329479,0.00,0,0.00,N/A
329546,60.00,0,60.00,1
329679,59.00,0,59.00,1
329747,17.00,0,17.00,1
329752,1815.00,0,1815.00,1
329837,59.00,0,59.00,1
329849,14.00,0,14.00,1
329922,77.00,0,59.00,1
329931,89.00,0,89.00,1
329942,86.00,0,86.00,1
329978,59.00,0,59.00,1
329986,481.00,0,32.00,1
329999,29.00,0,14.00,1
330009,1934.00,0,773.00,1
330037,104.00,0,14.00,1
330054,14.00,0,14.00,1
330056,104.00,0,59.00,1
330069,626.00,0,89.00,1
330106,101.00,0,11.00,1
330121,148.00,0,148.00,1
330152,14.00,0,14.00,1
330187,59.00,0,59.00,1
330191,14.00,0,14.00,1
330192,14.00,0,14.00,1
330194,118.00,0,44.00,1
330198,134.00,0,44.00,1
330224,23.00,0,23.00,1
330253,178.00,0,59.00,1
330302,38.00,0,8.00,1
330305,104.00,0,29.00,1
330329,148.00,0,148.00,1
330334,611.00,0,119.00,1
330336,14.00,0,14.00,1
330356,45.00,0,45.00,1
330361,2822.00,0,360.00,1
330365,962.00,0,962.00,1
330366,300.00,0,300.00,1
330368,817.00,0,95.00,1
330376,90.00,0,60.00,1
330377,16.00,0,16.00,1
330380,90.00,0,90.00,1
330388,1801.00,0,600.00,1
330394,30.00,0,30.00,1
330398,15.00,0,15.00,1
330404,179.00,0,179.00,1
330418,270.00,0,60.00,1
330419,15.00,0,15.00,1
330433,60.00,0,15.00,1
330434,30.00,0,30.00,1
330440,150.00,0,150.00,1
330443,15.00,0,15.00,1
330459,722.00,0,571.00,1
330461,15.00,0,15.00,1
330471,1172.00,0,120.00,1
330479,60.00,0,60.00,1
330487,72.00,0,72.00,1
330492,60.00,0,60.00,1
330496,15.00,0,15.00,1
330499,15.00,0,15.00,1
330504,29.00,0,29.00,1
330506,17.00,0,17.00,1
330514,59.00,0,59.00,1
330516,32.00,0,32.00,1
330521,1798.00,0,1798.00,1
330532,6.00,0,6.00,1
330536,15.00,0,15.00,1
330538,15.00,0,15.00,1
330539,45.00,0,45.00,1
330544,90.00,0,90.00,1
330554,28.00,0,10.00,1
330555,45.00,0,12.00,1
330558,15.00,0,15.00,1
330559,240.00,0,60.00,1
330562,45.00,0,45.00,1
330572,179.00,0,119.00,1
330575,59.00,0,59.00,1
330579,15.00,0,15.00,1
330583,15.00,0,15.00,1
330584,134.00,0,45.00,1
330586,30.00,0,15.00,1
330589,15.00,0,15.00,1
330591,15.00,0,15.00,1
330596,30.00,0,30.00,1
330597,24.00,0,24.00,1
330607,239.00,0,239.00,1
330610,30.00,0,30.00,1
330611,66.00,0,66.00,1
330615,59.00,0,59.00,1
330619,45.00,0,45.00,1
330620,59.00,0,59.00,1
330621,89.00,0,89.00,1
330626,15.00,0,15.00,1
330628,30.00,0,30.00,1
330630,30.00,0,30.00,1
330636,45.00,0,45.00,1
330639,19.00,0,19.00,1
330640,89.00,0,89.00,1
330641,59.00,0,59.00,1
330644,59.00,0,59.00,1
330646,15.00,0,15.00,1
330651,45.00,0,45.00,1
330655,34.00,0,34.00,1
330656,15.00,0,15.00,1
330657,74.00,0,74.00,1
330664,15.00,0,15.00,1
330666,15.00,0,15.00,1
330669,36.00,0,36.00,1
330673,12.00,0,12.00,1
330677,59.00,0,59.00,1
330679,0.00,0,0.00,1
330682,9.00,0,9.00,1
Totals:,29288.00,0,12868.00,126
